,observed,mean.simulated,lowCI,uppCI,sign
K10269,8.533333333,13.84123665,9.365853659,17.73,SPECIALIST
K10297,11.68655099,20.21673532,15.14895565,24.32492391,SPECIALIST
K10325,8.538224731,16.75035831,12.11454355,20.98486759,SPECIALIST
K10326,1.083188908,11.1975189,7.352941176,15.24390244,SPECIALIST
K10328,4.459283388,12.94576918,8.717003165,16.90123457,SPECIALIST
K10338,10.8916996,17.34543636,12.87573547,21.49622167,SPECIALIST
K10340,11.25,15.91360397,11.34453782,20.14925373,SPECIALIST
K10348,1.342465753,8.523887636,5.157894737,12.25,SPECIALIST
K10350,7.053333333,10.81022184,7.246575342,14.31772201,SPECIALIST
K10360,1.823834197,15.82210056,11.18994519,19.85896907,SPECIALIST
K10380,7.406287787,17.35162329,12.75457168,21.70523513,SPECIALIST
K10395,6.07751938,14.42513458,9.739130435,18.66666667,SPECIALIST
K10398,3.169014085,8.878664823,5.487804878,11.84210526,SPECIALIST
K10401,9.207329152,17.47337348,12.69383972,21.57257595,SPECIALIST
K10407,12.4688065,19.36422497,14.23413664,23.57036865,SPECIALIST
K10443,2.25904679,18.43784587,13.63143255,22.4633312,SPECIALIST
K10444,11.28204782,19.72459121,14.88289653,23.81891359,SPECIALIST
K10451,8.529595016,15.39717902,10.99598394,19.41843972,SPECIALIST
K10454,13.50757124,19.06584739,14.06278671,23.39295882,SPECIALIST
K10456,5.666666667,9.434532693,6.14893617,13.76190476,SPECIALIST
K10457,12.19887165,19.53056122,14.71828366,24.14139602,SPECIALIST
K10458,6.602628196,17.91279365,13.30177592,22.0865804,SPECIALIST
K10459,2.223819302,14.58915861,10.18495298,18.78034682,SPECIALIST
K10460,3.187565859,14.38797418,9.663002688,18.78881988,SPECIALIST
K10463,5.23255814,8.767541488,5.769230769,11.84210526,SPECIALIST
K10464,7.280734371,17.49846593,12.84449266,21.47366355,SPECIALIST
K10465,1,11.52650838,7.669728703,15.5106383,SPECIALIST
K10466,6.352044908,15.85483559,11.49637155,19.95214106,SPECIALIST
